person_nr_obf;st_person_nr_obf;org_einheiten;emailadresse_b;emailadresse_st;bpk;pm_sap_personalnummer;schulkennzahlen;funktionen;pk_uniqueid;vorname;nachname;benutzername;passwort;benutzergruppen;aktiv_st_person;aktiv_a_person;aktiv_b_person;chipid_b;chipid_st;chipid_a;mirfareid_b;mirfareid_st;mirfareid_a;matrikelnummer;account_status_b;account_status_st;account_status_a;geburtsdatum;person_nr;st_person_nr;ident_nr
;52df8b3d5aa6fadc;;;Cajlbfqoossae@tugraz.at;;;;;4720.0;Sfpx;Äqiajmdw;sfpx.aqiajmdw.2;livg6ee;"ST;A";J;J;;;;;;;;27458978;;OK;OK;1995-05-09 00:00:00;;553585.0;-620883.0
4e5700f36ebecb1d;163e822ecbd0da88;;;Zjjaosrwwvloaxcds@phst.at;;;;;4721.0;Nhxüt;Jnöbxkym;nhxut.jnobxkym.3;N9kkrpKhFlFn;"ST;B;A";J;J;N;;;;;4c7ece29;;60150495;OK;OK;OK;1960-10-12 00:00:00;639817.0;433183.0;-131510.0
8b57e93cadc077b6;000747f434b67867;"14109;iInternational";Lzkzxyioxsifur@phst.at;Cssysqxqoalbsy@phst.at;SpluXAEdcnK+jDV/SjO94CuLpcE=;27542293;;;4722.0;Wzzbwxw;Y qgox;wzzbwxw.yqgox.4;qAB7GepnZ;"B;A";J;J;J;8422446846317333;;;3a94e8be;;;42292457;OK;;OK;1972-09-07 00:00:00;70997.0;829063.0;462189.0
63dcdf13c0bd7391;2044d9782f862fe5;"14109;14608";Huozslqvlqh@phst.at;Eaxssa fuiy@phst.at;yV3QMIajIQC/DA6uI8mP4agvl2k=;56114320;;;4723.0;Heynä ;Wadq;heyna.wadq.5;EMJT5lv8z8bRJc;"B;A";J;J;J;2338843634983578;;;32446784;;;74847932;OK;;OK;1967-06-02 00:00:00;713849.0;653577.0;-541763.0
3b8ac591eeab9bdc;;"14109;iPraxis";Uocgqhszzwss@phst.at;;Pcfgw2V/n87OR4dnt8yFGVMNYMk=;38273809;;;4724.0; vsäa;Mnpesü;vsaa.mnpesu.6;896MBvZt;B;;;J;9003425191056617;;;b93aa010;;;;OK;;;1960-01-07 00:00:00;630042.0;;182970.0
;c5432673bcdc5c16;;; pzti vscek s@gmx.at;EcXfmpCRqxGw083CNzhLHrJe8YY=;;;;4725.0;Ldqßvn;Nrdtvs;ldqsvn.nrdtvs.7;ahfjYcBC;A;J;J;;;6597944560933618;;;0c7db054;;49059858;;;OK;1972-06-18 00:00:00;;577625.0;-79634.0
fc91b8a161ee7f22;04016adef43b9dce;"1;iBerufspaedagogik";Fg kirshxczpb@phst.at;Goqrtrhgawmwr@phst.at;1l18cd1eO8BFJa+vA2IqPFI8VhM=;24721533;;;4726.0;U opijs;Ke i;uopijs.kei.8;s1cO4j43LP;"B;ST;A";J;J;J;;;;4c773855;;;19763520;OK;INAKTIV;OK;1959-11-20 00:00:00;804155.0;410162.0;22925.0
b31e0d3b10aa277b;;;Wefpjsmgarw@lsr-bgld.gv.at;;;;100000;F_LSR:F:100000:15363;4727.0;Ngroiy;Osü;ngroiy.osu.0;krJD9v;B;;;N;;;;;;;;OK;;;2007-11-26 00:00:00;676030.0;;986582.0
3a6ef22509750733;;;Uiljlndhsaomiuoolu@salzburg.gv.at;;;;500000;F_LSR:F:500000:15541;4728.0;Bxlrß;Ö ihä czäe;bxlrs.oihaczae.1;ai1mtCNd;B;;;N;;;;;;;;OK;;;2007-03-20 00:00:00;597031.0;;510943.0
debc0ef887ded6be;;;Tksxslzsn jkiselagnolo@lsr-sbg.gv.at;;P2J9TAutlwTLyrWddjkINsJK+ac=;;"5LBS00;500000";"F_DAV_READ:F:5LBS00:21674;P_DAV_NACHGEN:F:500000:15541";4729.0;Eh rüarkü;Ävepgoöiäurr;ehruarku.avepgooiaurr.2;gtSIZX;B;;;N;;;;;;;;OK;;;1974-11-14 00:00:00;282905.0;;250770.0
f4a23e713a405fbb;;;;;tA6qG3UnCrvtwkRyw2vtiyIEjDo=;;100000;F_LSR:F:100000:15363;4730.0;Gvqxßüt s;Wjoiwtxw;gvqxsuts.wjoiwtxw.3;CQqe9f4K;B;;;N;;;;;;;;OK;;;1975-11-21 00:00:00;473477.0;;932174.0
d8ac3ad4527cfcc5;2e1cc614eed14d38;"D3;PH";Coyauobizuuv t@ph-noe.ac.at;;bYvtFgnvWXuFQKxmoRKD5IU04vw=;54489723;;;4731.0;Jnaß;Ö rxzgyno;jnas.orxzgyno.20;nS3XlFMhvf;"B;A";J;J;J;;;;0a9730ba;;;35562228;OK;;OK;1955-08-22 00:00:00;383803.0;524274.0;644344.0
e576c9e36616161f;ff4097c93c4597c0;"D1;PH";Ahncqkxsvsuas@ph-noe.ac.at;Kxosvrno@gmx.at;YgG2oQILjg5YILMD/7onjfcWF3M=;43305014;;;4732.0;Äjiqön;Q ajk ;ajiqon.qajk.21;O5pC3sE9VTvNL;"B;A";J;J;J;;;;b03c9ce9;;;66965597;OK;;OK;1954-12-20 00:00:00;650163.0;83984.0;125413.0
